nome,categoria,endereco,telefone,nota,avaliacoes,site,lat,lng,rota
Aquimed Clínica Médica,Consultório médico,"R. Iguatama, 73 - Sl 2 a 4",(31) 3047-9799,4,39,http://www.aquimed.com.br/,-19.8833702,-43.9080347,ROTA 09/07/2026
Clínica Médica Sagrada Família,Policlínica,"R. Conselheiro Lafaiete, 835",(31) 2573-1212,"4,4",116,https://clinicamedsagradafamilia.com.br/,-19.9048568,-43.9242227,
Clínica Multi Médicos,Grupo médico,"Rua Dr. Júlio Otaviano Ferreira, 718",(31) 2520-5757,"3,4",180,http://clinicamultimedicos.com/,-19.8889925,-43.9234226,
Laboratório e Clínica Santa Inês,Laboratório médico,"Rua Mantiqueira, 657",(31) 3461-5556,"3,6",116,,-19.8887847,-43.9058648,ROTA 09/07/2026
Clínica Cidade Nova,Policlínica,"R. Gonçalo Coelho, 40",(31) 3484-2545,"2,5",122,,-19.8910264,-43.9270644,
Clínica Santo André,Clínica especializada,"R. Mariana, n°1150",(31) 3564-8900,"4,9",684,https://www.instagram.com/santoandreclinica/,-19.9043732,-43.9531855,
Clínica Odontológica Estação do Sorriso BH,Dentista,·,(31) 3564-9624,"4,7",35,,-19.8947665,-43.9008549,
Clínica Interdisciplinar e Transdisciplinar Horizonte Colorido,Clínica pediátrica,"Rua Mantiqueira, 318",,5,40,https://www.instagram.com/horiizontecolorido?igsh=MXVuZzBrOHkwdHNnYw==,-19.8886749,-43.9075717,descartada (substituida)
Clínica Médica Viva Mais,Policlínica,"Av. Amazonas, 2489",(31) 3789-8245,"4,7",219,https://www.clinicavivamais.com.br/,-19.9288819,-43.9556173,
Pataki Patalá,Veterinário,"Av. Elísio de Brito, 480",(31) 3488-3860,5,503,,-19.8957316,-43.9035958,
Clínica MAR,Clínica odontológica,"R. Contagem, 1451 - Lj 4",(31) 99431-9181,"4,3",35,,-19.8837317,-43.9077872,ROTA 09/07/2026
"Clinica do Bem - Consultas, Vacinas, Exames Laboratoriais e de Imagem.",Policlínica,"Rua dos Carijós, 173",(31) 3504-3014,"3,9",300,http://www.clinicadobem.com.br/,-19.9197203,-43.9369378,
GV Clínicas Medicina do Trabalho - Belo Horizonte - Centro,Serviço de saúde ocupacional,"Av. Afonso Pena, 732 - Sl 1101 a 1104",(31) 3272-3354,"4,1",165,http://www.gvclinicas.com.br/,-19.9199493,-43.9385747,
Santti Medicina e Saúde - Clínica de Especialidades Médicas,Assistência médica,"Av. Afonso Pena, 726 - 5º Andar",(31) 3055-3206,"4,4",340,http://www.clinicasantti.com.br/,-19.9197793,-43.9386492,
Clínica Médica e Psicológica Psimed,Médico,·,(31) 3273-4358,"3,4",33,,-19.9106502,-43.9245009,
CLÍNICA VETERINÁRIA VIDA DE CÃO,Serviço veterinário de emergência,·,(31) 3463-1120,"4,2",144,,-19.9080583,-43.8998713,
Clínica Médica em Belo Horizonte | Clinilar,Policlínica,"R. Monte Negro, 22",(31) 99942-4251,4,58,https://www.nucleoclinilar.com.br/,-19.9277394,-43.9660545,
Clínica Atelier Odontológico,Dentista,"Av. Elísio de Brito, 204",(31) 98866-0386,"3,7",63,,-19.896272,-43.906142,ROTA 09/07/2026
CLIMEPTRA Clinica Medic. Psic. Trânsito,Policlínica,·,(31) 3267-5986,"2,5",57,https://www.actransmg.com.br/enderecos-das-clinicas/climeptra-clinica-de-medicina-e-psicologia-do/,-19.925425,-43.9244088,
Clínica Aspemed Saúde Especialidades Médicas,Policlínica,"871, R. Castigliano, Bairro",(31) 2551-5766,"4,7",329,https://aspemed.com.br/,-19.9152376,-43.9755417,
SorriaSim - Clínica,Centro de saúde e beleza,·,(31) 3487-0683,"4,9",159,https://www.sorriasim.com.br/,-19.8831083,-43.9100259,
Clinica Lapecco,Médico,"R. Jacuí, 1149",(31) 98472-6316,"4,1",32,https://nucleolapecco.com.br/,-19.9030583,-43.9329233,
Fundação Guimarães Rosa,Fundação,"R. Leví Coelho, 43",(31) 3217-0401,"4,2",207,http://clinica.fgr.org.br/,-19.9210948,-43.9227518,
Clínica Guadalupe,Policlínica,"Av. dos Engenheiros, 903",(31) 3656-5611,"4,2",823,http://www.clinicaguadalupe.com.br/,-19.889148,-44.0023429,
Clínica Amaros,Centro médico,"R. Amaros, 85",(31) 2526-9462,"4,9",67,https://clinicaamaros.servicosgold.com.br/,-19.8670171,-43.9227947,
Évora Clínica Médica,Policlínica,"Av. do Contorno, 7485",(31) 2514-1727,"4,3",522,http://www.clinicaevora.com.br/,-19.9360751,-43.9458243,
Quiros Clínica de Mão e Fisioterapia,Clínica de Fisioterapia,"R. Tab. Ferreira de Carvalho, 1090",(31) 3484-3380,5,43,,-19.8920467,-43.921184,
clinica brasil,Médico,"Av. Amazonas, 507 - 13º andar",(31) 3201-2931,"1,8",48,,-19.9198695,-43.9393711,
Melhor Amigo Clínica Veterinária,Hospital Veterinário,"Av. Alphonsus de Guimarães, 272",(31) 3467-2382,"4,3",387,,-19.9158159,-43.9070432,
"Corporalmente Clínica - Psicólogo, Psiquiatra em BH",Consultório médico,"R. Ceará, 195 - Cj.: 1001",(31) 98479-4143,"4,9",70,"https://api.whatsapp.com/send?phone=5531971501233&text=Ol%C3%A1,%20vim%20pelo%20Google%20e%20gostaria%20de%20saber%20mais%20sobre%20a%20clinica",-19.922927,-43.925528,
Clinica Pulmonar,Hospital,R. Padre Rolim,(31) 3222-6004,"2,6",184,https://pulmonar.com.br/,-19.9274911,-43.9257431,
Clínica Fisicor,Clínica de Fisioterapia,"Av dos Andradas, 367,EDIFÍCIO CENTRAL, sala 219A primeiro andar",(31) 3275-4455,"4,3",102,,-19.9181264,-43.9343644,
Clínica de Estética Avançada em Belo Horizonte | Corpus,Clínica especializada,·,(31) 99229-5696,"4,9",34,http://linktr.ee/corpus_esteticaavancada,-19.8806915,-43.9101285,
CLIM DIAGNOSTICA,Clínica especializada,"R. Pará de Minas, 152",(31) 3234-0845,"4,6",429,https://linktr.ee/climdiagnostica,-19.914817,-43.9823356,
clinica ceccato,Dermatologista,"Rua dos Otoni, 881 - sexto andar",(31) 3224-9393,4,65,,-19.9256648,-43.9285845,
Clinica Euclásio Dentistas e Estética Morena Bonita Santa efigenia,Dentista,"Rua Euclásio, 713",(31) 98466-3256,"3,8",134,https://instagram.com/clinicaodontologicaeuclasio?igshid=OGQ5ZDc2ODk2ZA==,-19.9258305,-43.909822,
Clinica - OTORRINOLIFE,Otorrinolaringologista,"Rua dos Otoni, 909 - Sl 703",(31) 3261-3397,"4,2",57,https://otorrinolife.com.br/,-19.925633,-43.928827,
Garbo Clínica Odontológica,Dentista,"R. Contagem, 878",(31) 97364-2448,"4,8",92,https://garboodontologia.com.br/,-19.8892785,-43.9057258,ROTA 09/07/2026
Clinica Evaldo Oliveira Veloso,Clínica oftalmológica,"Rua dos Guajajaras, 40",(31) 3222-3027,"4,2",76,,-19.9265839,-43.9344574,
Center Fisio BH,Clínica de Fisioterapia,"R. Curitiba, 786 - 5º andar",(31) 2535-6009,"4,9",730,http://www.centerfisioclinica.com.br/,-19.9193735,-43.9416298,
Clinica Cemep,Centro médico,"R. Rio de Janeiro, 1005 - Sl 1203 e 1204",(31) 3567-0946,"2,2",43,,-19.9232913,-43.9395648,
Clínica Trinutrix - Nutrição e Saúde,Nutricionista,"Av. do Contorno, 2874",(31) 3423-3553,"3,8",138,http://www.clinicatrinutrix.com.br/,-19.9222416,-43.9212069,
Clínica Veterinária São Geraldo Ltda - 24H,Hospital Veterinário,"Av. Assis Chateaubriand, 26",(31) 3244-0459,"4,6",653,http://www.veterinariasaogeraldo.com.br/,-19.9159743,-43.9278133,
COBH - Clinica Oftalmológica de Belo Horizonte - Dr. Diogo Bezerra de Almeida,Clínica oftalmológica,"Rua dos Guajajaras, 40 - Sl 1103",(31) 99969-5200,"4,9",322,https://www.cobh.com.br/,-19.926415,-43.9345074,
Clínica Saúde do Cabelo,Serviço de tratamento para a queda de cabelo,"R. Silveira, 525",(31) 98866-7329,5,74,http://www.clinicasaudedocabelo.com.br/,-19.9013644,-43.9295056,
Clinica Mineira de Psicologia LTDA,Psicólogo,"@clinicamineiradepsicologia - Av. Brasil, 283",(31) 98417-8260,"4,9",66,https://www.instagram.com/clinicamineiradepsicologia/,-19.9250166,-43.9227622,
Clínica Diláscio,Dentista,"R. Domingos Vieira, 587 - sala 1208",(31) 3241-1738,"4,8",159,https://www.instagram.com/clinica.dilascio?igsh=OTJwd2Q5dGd4MWNu,-19.9223717,-43.9263833,
